name : asfff
littleName : asd
path : songs/foundation_pack/Rabpit - Dream.mp3
cover : images/start/songs/his_theme.png
author : None
noteDesigner : None
    (3, 0.42)
    (0, 0.495)
    (1, 0.675)
    (0, 1.044)
    (3, 1.155)
    (0, 1.289)
    (1, 1.457)
    (2, 1.621)
    (3, 1.747)
    (0, 1.85)
    (2, 2.066)
    (3, 2.148)
    (0, 2.255)
    (1, 2.333)
    (2, 2.436)
    (3, 2.5)
    (0, 2.591)
    (1, 2.675)
    (2, 2.778)
    (3, 2.854)
    (0, 2.939)
    (1, 3.036)
    (2, 3.136)
    (3, 3.214)
    (0, 3.302)
    (1, 3.384)
    (2, 3.476)
    (3, 3.546)
    (0, 3.649)
    (2, 3.827)
    (3, 3.895)
    (0, 3.972)
    (1, 4.058)
    (2, 4.157)
    (3, 4.229)
    (0, 4.321)
    (2, 4.499)
    (1, 4.499)
    (3, 4.562)
    (0, 4.664)
    (1, 4.731)
    (2, 4.834)
    (3, 4.925)
    (0, 4.996)
    (1, 5.062)
    (2, 5.167)
    (3, 5.239)
    (0, 5.322)
    (1, 5.415)
    (2, 5.519)
    (3, 5.611)
    (0, 5.697)
    (1, 5.762)
    (2, 5.891)
    (3, 5.938)
    (0, 6.034)
    (1, 6.138)
    (2, 6.223)
    (3, 6.269)
    (0, 6.371)
    (1, 6.417)
    (3, 6.519)
    (0, 7.88)
    (1, 8.071)
    (2, 8.245)
    (3, 8.444)
    (0, 8.634)
    (0, 9.295)
    (0, 10.192)
    (0, 11.387)
    (0, 12.563)
    (0, 13.774)
    (0, 15.001)
    (0, 16.105)
    (0, 17.316)
    (0, 18.569)
    (0, 19.758)
    (0, 20.925)
    (0, 22.105)
    (0, 23.355)
