name : Unnamed
littleName : littleName
path : songs/foundation_pack/his_theme.mp3
cover : images/start/songs/his_theme.jpg
author : None
noteDesigner : None
    (3, 0.547)
    (0, 0.906)
    (0, 1.274)
    (3, 1.736)
    (0, 2.21)
    (3, 2.934)
    (0, 3.263)
    (2, 3.591)
    (0, 3.942)
    (0, 4.477)
    (3, 4.963)
    (2, 5.366)
    (0, 5.679)
    (1, 6.014)
    (2, 6.375)
    (0, 6.699)
    (0, 7.053)
    (0, 7.525)
    (3, 8.281)
    (2, 8.647)
    (0, 9.002)
    (0, 9.343)
    (2, 9.861)
    (0, 10.341)
    (1, 10.703)
    (2, 11.004)
    (0, 11.353)
    (3, 11.67)
    (2, 12.007)
    (2, 12.51)
    (0, 12.972)
    (2, 13.679)
    (3, 14.039)
    (2, 14.359)
    (0, 14.735)
    (0, 15.184)
    (1, 15.672)
    (2, 16.059)
    (0, 16.374)
    (3, 16.697)
    (2, 17.055)
    (0, 17.384)
    (0, 17.883)
    (1, 18.39)
    (0, 19.022)
    (3, 19.374)
    (2, 19.725)
    (0, 20.068)
    (3, 20.579)
    (1, 21.073)
    (2, 21.373)
    (0, 21.694)
    (3, 22.025)
    (2, 22.376)
    (0, 22.722)
    (0, 23.214)
    (1, 23.687)
    (2, 24.409)
    (0, 24.706)
    (2, 25.001)
    (0, 25.354)
    (0, 25.908)
    (3, 26.365)
    (1, 26.685)
    (2, 27.034)
    (0, 27.385)
    (2, 27.681)
    (3, 28.03)
    (3, 28.537)
    (0, 29.03)
    (2, 29.728)
    (1, 30.031)
    (2, 30.359)
    (0, 30.682)
    (3, 31.229)
    (1, 31.721)
    (2, 32.047)
    (0, 32.38)
    (3, 32.657)
    (2, 32.994)
    (1, 33.375)
    (2, 33.924)
    (0, 34.357)
    (0, 35.019)
    (2, 35.344)
    (0, 35.629)
    (0, 36.094)
    (0, 36.575)
    (0, 37.112)
    (0, 37.292)
    (2, 37.592)
    (0, 37.96)
    (2, 38.298)
    (3, 38.692)
    (3, 39.141)
    (0, 39.602)
    (2, 40.34)
    (0, 40.665)
    (1, 40.994)
    (2, 41.31)
    (3, 41.81)
    (0, 42.27)
    (3, 42.651)
    (2, 42.966)
    (1, 43.284)
    (2, 43.632)
    (0, 43.961)
    (0, 44.446)
    (2, 44.884)
    (2, 45.635)
    (0, 45.99)
    (3, 46.336)
    (2, 46.67)
    (2, 47.133)
